id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ để khắc phục và 15 phút để phản hồi ban đầu kể từ khi ticket được tạo [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"The answer accurately reflects the SLA for ticket P1 as stated in the context, specifying both the initial response time of 15 minutes and the resolution time of 4 hours.",5,"The answer directly addresses the question by providing specific SLA times for handling P1 tickets, including both the response and resolution times.",5,Retrieved: 1/1 expected sources,5,"The actual answer includes both key points from the expected answer: the initial response time of 15 minutes and the resolution time of 4 hours. It also clarifies that these times are counted from when the ticket is created, which adds completeness.",baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"The answer accurately reflects the information provided in the context regarding the timeframe for customers to request a refund, which is within 7 working days from the order confirmation.",5,"The answer directly addresses the question by stating that customers can request a refund within 7 working days from the order confirmation, which is exactly what was asked.",5,Retrieved: 1/1 expected sources,5,"The actual answer fully covers all key points of the expected answer, including the time frame of 7 working days and the condition of the request being made from the time of order confirmation.",baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần có sự phê duyệt của Line Manager, IT Admin và IT Security [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"The answer accurately reflects the requirements for granting Level 3 access as stated in the context, including the necessary approvals from Line Manager, IT Admin, and IT Security.",5,"The answer directly addresses the question by specifying who must approve the granting of Level 3 permissions, which is exactly what was asked.",5,Retrieved: 1/1 expected sources,5,"The actual answer includes all key points from the expected answer, specifying that approval is needed from Line Manager, IT Admin, and IT Security.",baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",4,"The answer correctly states that digital products are not eligible for refunds unless there is a manufacturer defect and other conditions are met. However, it could be clearer about the specific conditions for refunds related to manufacturer defects, which are outlined in the context.",5,"The answer directly addresses the question about the refund policy for digital products, stating that they are generally non-refundable unless there is a manufacturer error and other conditions are met.",5,Retrieved: 1/1 expected sources,3,"The actual answer correctly states that digital products are generally non-refundable, which aligns with the expected answer. However, it introduces an exception regarding manufacturer errors and additional conditions, which is not mentioned in the expected answer. This additional information makes the answer less complete in terms of aligning with the expected response.",baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp [1].,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,"The answer accurately reflects the information provided in the context, specifically stating that the account is locked after 5 consecutive failed login attempts, which is directly quoted from the context.",5,The answer directly addresses the question by stating that an account is locked after 5 consecutive failed login attempts.,5,Retrieved: 1/1 expected sources,5,"The actual answer fully covers all key points of the expected answer, providing the same information about the account being locked after 5 consecutive failed login attempts.",baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,Escalation trong sự cố P1 diễn ra tự động lên Senior Engineer nếu không có phản hồi trong 10 phút kể từ khi ticket được tạo [2].,Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"The answer accurately reflects the information provided in the context regarding the escalation process for P1 tickets, stating that it occurs automatically to a Senior Engineer if there is no response within 10 minutes of the ticket being created.",5,"The answer directly addresses the question about how escalation occurs in a P1 incident, providing specific details about the process.",5,Retrieved: 1/1 expected sources,5,"The actual answer fully covers all key points of the expected answer, including the automatic escalation to a Senior Engineer and the 10-minute timeframe for response after ticket creation.",baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,Approval Matrix để cấp quyền hệ thống là tài liệu quy định quy trình cấp phép truy cập vào các hệ thống nội bộ của công ty [1].,Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,"The answer accurately reflects the information provided in the context, specifically referencing the document that regulates the access approval process for internal systems.",5,"The answer directly addresses the question by explaining what an Approval Matrix is in the context of granting system access, thus providing relevant information.",5,Retrieved: 1/1 expected sources,2,The actual answer provides a general description of the Approval Matrix but does not mention the specific name change to 'Access Control SOP' or the document reference (access-control-sop.md) as expected.,baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi hoàn thành probation period, và lịch remote phải được Team Lead phê duyệt qua HR Portal [1].","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,"The answer accurately reflects the information provided in the context regarding remote work conditions, including the maximum number of remote days and the requirement for Team Lead approval through the HR Portal.",5,"The answer directly addresses the question by stating that employees can work remotely a maximum of 2 days per week after completing their probation period, and it provides additional context about the approval process, which is relevant to the question asked.",5,Retrieved: 1/1 expected sources,5,"The actual answer covers all key points of the expected answer, including the maximum number of remote days (2 days/week), the condition of completing the probation period, and the requirement for Team Lead approval. Additionally, it specifies the approval process through the HR Portal, which adds clarity.",baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Tôi không biết.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,Abstained appropriately.,1,"The answer does not provide any relevant information about the ERR-403-AUTH error or how to handle it, and simply states a lack of knowledge.",,No expected sources,1,"The actual answer does not provide any information about the ERR-403-AUTH error or how to handle it, completely missing the core points of the expected answer.",baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không có thông tin cụ thể về quy trình hoàn tiền khẩn cấp cho khách hàng VIP trong bối cảnh đã cung cấp. Tôi không biết.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,Abstained appropriately.,5,"The answer correctly states that there is no specific information available regarding the urgent refund process for VIP customers, which directly addresses the question about the process's relevance.",5,Retrieved: 1/1 expected sources,2,"The actual answer acknowledges the lack of specific information regarding the emergency refund process for VIP customers, but it does not mention the standard policy or the timeframe of 3-5 business days as outlined in the expected answer. Therefore, it misses key points.",baseline_dense
